time: 2026-03-15 17:58:56 | user: s | action: User/GetMe | duration: 231ms
time: 2026-03-15 17:58:56 | user: s | action: Music/Get | duration: 238ms
time: 2026-03-15 17:59:05 | user: Anonymous | action: UnknownController/UnknownAction | duration: 1ms
time: 2026-03-15 17:59:05 | user: Anonymous | action: UnknownController/UnknownAction | duration: 1ms
time: 2026-03-15 17:58:56 | user: s | action: UnknownController/UnknownAction | duration: 8424ms
time: 2026-03-15 17:59:05 | user: Anonymous | action: UnknownController/UnknownAction | duration: 0ms
time: 2026-03-15 17:59:05 | user: Anonymous | action: UnknownController/UnknownAction | duration: 11ms
time: 2026-03-15 17:59:05 | user: Anonymous | action: UnknownController/UnknownAction | duration: 12ms
time: 2026-03-15 17:59:05 | user: Anonymous | action: Music/Get | duration: 13ms
time: 2026-03-15 17:59:05 | user: Anonymous | action: User/GetMe | duration: 12ms
time: 2026-03-15 17:59:05 | user: Anonymous | action: UnknownController/UnknownAction | duration: 0ms
time: 2026-03-15 17:59:09 | user: Anonymous | action: Login/Login | duration: 49ms
time: 2026-03-15 17:59:09 | user: Anonymous | action: UnknownController/UnknownAction | duration: 1ms
time: 2026-03-15 17:59:09 | user: Anonymous | action: UnknownController/UnknownAction | duration: 0ms
time: 2026-03-15 17:59:09 | user: s | action: UnknownController/UnknownAction | duration: 0ms
time: 2026-03-15 17:59:09 | user: s | action: User/GetMe | duration: 1ms
time: 2026-03-15 17:59:09 | user: s | action: Music/Get | duration: 1ms
time: 2026-03-15 17:59:09 | user: Anonymous | action: UnknownController/UnknownAction | duration: 0ms
time: 2026-03-15 17:59:11 | user: s | action: User/GetMe | duration: 2ms
time: 2026-03-15 17:59:14 | user: s | action: User/Update | duration: 32ms
time: 2026-03-15 17:59:14 | user: s | action: User/GetMe | duration: 2ms
time: 2026-03-15 17:59:14 | user: s | action: Music/Get | duration: 5ms
time: 2026-03-15 17:59:21 | user: s | action: Music/Update | duration: 15ms
time: 2026-03-15 17:59:21 | user: s | action: Music/Get | duration: 1ms
time: 2026-03-15 17:59:22 | user: s | action: User/GetMe | duration: 1ms
time: 2026-03-15 17:59:28 | user: s | action: User/Update | duration: 3ms
time: 2026-03-15 17:59:28 | user: s | action: Music/Get | duration: 0ms
time: 2026-03-15 17:59:28 | user: s | action: User/GetMe | duration: 1ms
time: 2026-03-15 17:59:31 | user: Anonymous | action: UnknownController/UnknownAction | duration: 1ms
time: 2026-03-15 17:59:31 | user: Anonymous | action: UnknownController/UnknownAction | duration: 0ms
time: 2026-03-15 17:59:31 | user: Anonymous | action: UnknownController/UnknownAction | duration: 11ms
time: 2026-03-15 17:59:31 | user: s | action: User/Get | duration: 4ms
time: 2026-03-15 17:59:09 | user: s | action: UnknownController/UnknownAction | duration: 21719ms
time: 2026-03-15 17:59:41 | user: s | action: User/Create | duration: 53ms
time: 2026-03-15 17:59:41 | user: s | action: User/Get | duration: 0ms
time: 2026-03-15 17:59:43 | user: Anonymous | action: UnknownController/UnknownAction | duration: 0ms
time: 2026-03-15 17:59:43 | user: Anonymous | action: UnknownController/UnknownAction | duration: 0ms
time: 2026-03-15 17:59:43 | user: s | action: User/GetMe | duration: 0ms
time: 2026-03-15 17:59:43 | user: s | action: Music/Get | duration: 0ms
time: 2026-03-15 17:59:43 | user: s | action: UnknownController/UnknownAction | duration: 0ms
time: 2026-03-15 17:59:43 | user: Anonymous | action: UnknownController/UnknownAction | duration: 0ms
time: 2026-03-15 17:59:46 | user: Anonymous | action: UnknownController/UnknownAction | duration: 1ms
time: 2026-03-15 17:59:46 | user: Anonymous | action: UnknownController/UnknownAction | duration: 0ms
time: 2026-03-15 17:59:46 | user: s | action: User/Get | duration: 0ms
time: 2026-03-15 17:59:43 | user: s | action: UnknownController/UnknownAction | duration: 3067ms
time: 2026-03-15 17:59:55 | user: s | action: User/Create | duration: 2ms
time: 2026-03-15 17:59:55 | user: s | action: User/Get | duration: 1ms
time: 2026-03-15 18:00:58 | user: Anonymous | action: UnknownController/UnknownAction | duration: 0ms
time: 2026-03-15 18:00:58 | user: Anonymous | action: UnknownController/UnknownAction | duration: 0ms
time: 2026-03-15 18:00:58 | user: s | action: User/Get | duration: 1ms
time: 2026-03-15 18:01:04 | user: s | action: User/Create | duration: 1ms
time: 2026-03-15 18:01:04 | user: s | action: User/Get | duration: 0ms
time: 2026-03-15 18:01:25 | user: Anonymous | action: UnknownController/UnknownAction | duration: 1ms
time: 2026-03-15 18:01:26 | user: Anonymous | action: UnknownController/UnknownAction | duration: 1ms
time: 2026-03-15 18:01:26 | user: Anonymous | action: UnknownController/UnknownAction | duration: 0ms
time: 2026-03-15 18:01:26 | user: Anonymous | action: UnknownController/UnknownAction | duration: 78ms
time: 2026-03-15 18:01:26 | user: s | action: User/Get | duration: 0ms
time: 2026-03-15 18:01:33 | user: s | action: User/Create | duration: 3ms
time: 2026-03-15 18:01:33 | user: s | action: User/Get | duration: 0ms
time: 2026-03-15 18:04:19 | user: Anonymous | action: UnknownController/UnknownAction | duration: 37ms
time: 2026-03-15 18:04:19 | user: Anonymous | action: UnknownController/UnknownAction | duration: 10ms
time: 2026-03-15 18:04:19 | user: Anonymous | action: UnknownController/UnknownAction | duration: 12ms
time: 2026-03-15 18:04:19 | user: Anonymous | action: UnknownController/UnknownAction | duration: 31ms
time: 2026-03-15 18:04:19 | user: s | action: User/Get | duration: 197ms
time: 2026-03-15 18:04:21 | user: Anonymous | action: UnknownController/UnknownAction | duration: 2ms
time: 2026-03-15 18:04:21 | user: Anonymous | action: UnknownController/UnknownAction | duration: 1ms
time: 2026-03-15 18:04:21 | user: Anonymous | action: UnknownController/UnknownAction | duration: 18ms
time: 2026-03-15 18:04:21 | user: Anonymous | action: UnknownController/UnknownAction | duration: 1ms
time: 2026-03-15 18:04:21 | user: Anonymous | action: UnknownController/UnknownAction | duration: 6ms
time: 2026-03-15 18:04:21 | user: Anonymous | action: UnknownController/UnknownAction | duration: 0ms
time: 2026-03-15 18:04:21 | user: s | action: User/GetMe | duration: 18ms
time: 2026-03-15 18:04:21 | user: s | action: UnknownController/UnknownAction | duration: 24ms
time: 2026-03-15 18:04:21 | user: s | action: Music/Get | duration: 27ms
time: 2026-03-15 18:04:24 | user: s | action: Music/Update | duration: 46ms
time: 2026-03-15 18:04:24 | user: s | action: Music/Get | duration: 2ms
time: 2026-03-15 18:04:26 | user: s | action: Music/Delete | duration: 10ms
time: 2026-03-15 18:04:26 | user: s | action: Music/Get | duration: 1ms
time: 2026-03-15 18:04:21 | user: s | action: UnknownController/UnknownAction | duration: 75863ms
